## NVDA Price History
**NVDA** (NVIDIA Corporation, USD)
| date | close | volume |
| 2025-09-05 | 350.84 | 108,989,800 |
| 2025-09-12 | 395.94 | 168,156,400 |
| 2025-09-19 | 426.07 | 93,131,034 |
| 2025-09-26 | 440.40 | 101,628,200 |
| 2025-10-03 | 429.83 | 133,188,200 |
| 2025-10-10 | 413.49 | 112,107,900 |
| 2025-10-17 | 439.31 | 89,331,600 |
| 2025-10-24 | 433.72 | 94,727,800 |
| 2025-10-31 | 456.56 | 83,135,800 |
| 2025-11-07 | 429.52 | 103,471,500 |
| 2025-11-14 | 404.35 | 105,506,700 |
| 2025-11-21 | 391.09 | 100,460,633 |
| 2025-11-28 | 430.17 | 36,252,900 |
| 2025-12-05 | 455 | 56,427,522 |
| 2025-12-12 | 458.96 | 95,656,749 |
| 2025-12-19 | 481.20 | 103,305,424 |
| 2025-12-26 | 475.19 | 58,780,700 |
| 2026-01-02 | 438.07 | 85,535,406 |
| 2026-01-09 | 445.01 | 67,331,500 |
| 2026-01-16 | 437.50 | 60,220,600 |
| 2026-01-23 | 449.06 | 56,771,400 |
| 2026-01-30 | 430.41 | 82,626,100 |
| 2026-02-06 | 411.11 | 62,677,144 |
| 2026-02-13 | 417.44 | 51,434,147 |
| 2026-02-20 | 411.82 | 57,912,225 |
| 2026-02-27 | 402.51 | 56,890,100 |
| 2026-03-06 | 396.73 | 64,054,600 |
| 2026-03-13 | 391.20 | 58,504,100 |
| 2026-03-20 | 367.96 | 78,628,603 |
| 2026-03-27 | 361.83 | 62,065,659 |

Data available in: `TSLA_price_history_2025-03-01_2026-03-28_1week_4ed82c.csv` (row key column: date)

## META Price History
**META** (Meta Platforms, Inc., USD)
| date | close | volume |
| --- | --- | --- |
| 2025-03-07 | 625.66 | 21,375,700 |
| 2025-03-14 | 607.60 | 12,364,505 |
| 2025-03-21 | 596.25 | 25,015,900 |
| 2025-03-28 | 576.74 | 17,602,823 |
| 2025-04-04 | 504.73 | 38,589,814 |
| 2025-04-11 | 543.57 | 17,642,327 |
| 2025-04-17 | 501.48 | 14,593,508 |
| 2025-04-25 | 547.27 | 17,098,921 |
| 2025-05-02 | 597.02 | 24,739,300 |
| 2025-05-09 | 592.49 | 10,427,300 |
| 2025-05-16 | 640.34 | 18,519,000 |
| 2025-05-23 | 627.06 | 8,454,100 |
| 2025-05-30 | 647.49 | 16,241,000 |
| 2025-06-06 | 697.71 | 11,728,000 |
| 2025-06-13 | 682.87 | 9,274,441 |
| 2025-06-20 | 682.35 | 22,538,640 |
| 2025-06-27 | 733.63 | 18,775,735 |
| 2025-07-03 | 719.01 | 8,601,700 |
| 2025-07-11 | 717.51 | 10,873,900 |
| 2025-07-18 | 704.28 | 12,779,800 |
| 2025-07-25 | 712.68 | 8,271,700 |
| 2025-08-01 | 750.01 | 19,028,710 |
| 2025-08-08 | 769.30 | 7,320,800 |
| 2025-08-15 | 785.23 | 13,375,400 |
| 2025-08-22 | 754.79 | 10,612,700 |
| 2025-08-29 | 738.70 | 9,070,546 |
| 2025-09-05 | 752.45 | 9,663,441 |
| 2025-09-12 | 755.59 | 8,248,600 |
| 2025-09-19 | 778.38 | 23,696,824 |
| 2025-09-26 | 743.75 | 9,696,338 |
| 2025-10-03 | 710.56 | 16,154,305 |
| 2025-10-10 | 705.30 | 16,980,100 |
| 2025-10-17 | 716.92 | 12,232,441 |
| 2025-10-24 | 738.36 | 9,151,300 |
| 2025-10-31 | 648.35 | 56,953,200 |
| 2025-11-07 | 621.71 | 29,946,826 |
| 2025-11-14 | 609.46 | 20,724,146 |
| 2025-11-21 | 594.25 | 21,052,624 |
| 2025-11-28 | 647.95 | 11,033,200 |
| 2025-12-05 | 673.42 | 21,207,900 |
| 2025-12-12 | 644.23 | 14,016,915 |
| 2025-12-19 | 658.77 | 49,977,100 |
| 2025-12-26 | 663.29 | 7,133,813 |
| 2026-01-02 | 650.41 | 13,726,517 |
| 2026-01-09 | 653.06 | 11,634,944 |
| 2026-01-16 | 620.25 | 17,012,516 |
| 2026-01-23 | 658.76 | 22,797,723 |
| 2026-01-30 | 716.50 | 23,744,600 |
| 2026-02-06 | 661.46 | 18,159,300 |
| 2026-02-13 | 639.77 | 12,336,400 |
| 2026-02-20 | 655.66 | 14,183,512 |
| 2026-02-27 | 648.18 | 15,703,041 |
| 2026-03-06 | 644.86 | 13,159,400 |
| 2026-03-13 | 613.71 | 18,957,637 |
| 2026-03-20 | 593.66 | 21,214,900 |
| 2026-03-27 | 525.72 | 30,133,010 |

Data available in: `META_price_history_2025-03-01_2026-03-28_1week_4ed82c.csv` (row key column: date)

## GOOGL Price History
**GOOGL** (Alphabet Inc., USD)
| date | close | volume |
| --- | --- | --- |
| 2025-03-07 | 173.86 | 27,385,813 |
| 2025-03-14 | 165.49 | 31,995,900 |
| 2025-03-21 | 163.99 | 36,625,800 |
| 2025-03-28 | 154.33 | 48,669,335 |
| 2025-04-04 | 145.60 | 62,259,539 |
| 2025-04-11 | 157.14 | 33,636,239 |
| 2025-04-17 | 151.16 | 33,046,600 |
| 2025-04-25 | 161.96 | 56,034,000 |
| 2025-05-02 | 164.03 | 25,715,005 |
| 2025-05-09 | 152.75 | 32,435,300 |
| 2025-05-16 | 166.19 | 42,846,925 |
| 2025-05-23 | 168.47 | 35,211,439 |
| 2025-05-30 | 171.74 | 52,639,911 |
| 2025-06-06 | 173.68 | 35,731,832 |
| 2025-06-13 | 174.67 | 27,663,107 |
| 2025-06-20 | 166.64 | 75,659,917 |
| 2025-06-27 | 178.53 | 108,140,200 |
| 2025-07-03 | 179.53 | 21,689,729 |
| 2025-07-11 | 180.19 | 34,282,922 |
| 2025-07-18 | 185.06 | 34,014,509 |
| 2025-07-25 | 193.18 | 39,785,900 |
| 2025-08-01 | 189.13 | 34,832,200 |
| 2025-08-08 | 201.42 | 39,161,826 |
| 2025-08-15 | 203.90 | 34,931,422 |
| 2025-08-22 | 206.09 | 42,827,040 |
| 2025-08-29 | 212.91 | 39,728,400 |
| 2025-09-05 | 235 | 46,588,925 |
| 2025-09-12 | 240.80 | 26,771,610 |
| 2025-09-19 | 254.72 | 55,571,424 |
| 2025-09-26 | 246.54 | 18,503,200 |
| 2025-10-03 | 245.35 | 30,249,600 |
| 2025-10-10 | 236.57 | 33,180,323 |
| 2025-10-17 | 253.30 | 29,671,629 |
| 2025-10-24 | 259.92 | 28,655,126 |
| 2025-10-31 | 281.19 | 39,267,945 |
| 2025-11-07 | 278.83 | 34,479,600 |
| 2025-11-14 | 276.41 | 31,647,227 |
| 2025-11-21 | 299.66 | 74,137,700 |
| 2025-11-28 | 320.18 | 26,018,600 |
| 2025-12-05 | 321.27 | 28,851,705 |
| 2025-12-12 | 309.29 | 35,940,200 |
| 2025-12-19 | 307.16 | 59,943,239 |
| 2025-12-26 | 313.51 | 10,899,017 |
| 2026-01-02 | 315.15 | 32,009,400 |
| 2026-01-09 | 328.57 | 26,214,200 |
| 2026-01-16 | 330 | 40,341,637 |
| 2026-01-23 | 327.93 | 27,280,000 |
| 2026-01-30 | 338 | 31,024,000 |
| 2026-02-06 | 322.86 | 56,380,500 |
| 2026-02-13 | 305.72 | 38,499,701 |
| 2026-02-20 | 314.98 | 53,210,820 |
| 2026-02-27 | 311.76 | 44,640,640 |
| 2026-03-06 | 298.52 | 25,576,916 |
| 2026-03-13 | 302.28 | 23,693,100 |
| 2026-03-20 | 301 | 44,364,100 |
| 2026-03-27 | 274.34 | 35,890,612 |

Data available in: `GOOGL_price_history_2025-03-01_2026-03-28_1week_4ed82c.csv` (row key column: date)

## AMZN Price History
**AMZN** (Amazon.com, Inc., USD)
| date | close | volume |
| --- | --- | --- |
| 2025-03-07 | 199.25 | 59,802,821 |
| 2025-03-14 | 197.95 | 38,096,700 |
| 2025-03-21 | 196.21 | 60,056,917 |
| 2025-03-28 | 192.72 | 52,548,226 |
| 2025-04-04 | 171 | 123,159,400 |
| 2025-04-11 | 184.87 | 50,594,339 |
| 2025-04-17 | 172.61 | 44,726,453 |
| 2025-04-25 | 188.99 | 36,414,330 |
| 2025-05-02 | 189.98 | 77,903,500 |
| 2025-05-09 | 193.06 | 29,663,143 |
| 2025-05-16 | 205.59 | 43,318,500 |
| 2025-05-23 | 200.99 | 33,393,545 |
| 2025-05-30 | 205.01 | 51,679,406 |
| 2025-06-06 | 213.57 | 39,832,500 |
| 2025-06-13 | 212.10 | 29,337,800 |
| 2025-06-20 | 209.69 | 75,350,733 |
| 2025-06-27 | 223.30 | 119,217,138 |
| 2025-07-03 | 223.41 | 29,632,400 |
| 2025-07-11 | 225.02 | 50,518,307 |
| 2025-07-18 | 226.13 | 37,833,807 |
| 2025-07-25 | 231.44 | 28,712,100 |
| 2025-08-01 | 214.75 | 122,258,801 |
| 2025-08-08 | 222.69 | 32,970,500 |
| 2025-08-15 | 231.03 | 39,649,244 |
| 2025-08-22 | 228.84 | 37,315,341 |
| 2025-08-29 | 229 | 26,199,200 |
| 2025-09-05 | 232.33 | 36,721,802 |
| 2025-09-12 | 228.15 | 38,496,218 |
| 2025-09-19 | 231.48 | 97,943,200 |
| 2025-09-26 | 219.78 | 41,650,100 |
| 2025-10-03 | 219.51 | 43,639,033 |
| 2025-10-10 | 216.37 | 72,367,511 |
| 2025-10-17 | 213.04 | 45,986,944 |
| 2025-10-24 | 224.21 | 38,685,100 |
| 2025-10-31 | 244.22 | 166,340,808 |
| 2025-11-07 | 244.41 | 46,374,300 |
| 2025-11-14 | 234.69 | 38,956,700 |
| 2025-11-21 | 220.69 | 68,490,500 |
| 2025-11-28 | 233.22 | 20,292,329 |
| 2025-12-05 | 229.53 | 33,117,400 |
| 2025-12-12 | 226.19 | 35,639,118 |
| 2025-12-19 | 227.35 | 85,544,400 |
| 2025-12-26 | 232.52 | 15,994,726 |
| 2026-01-02 | 226.50 | 51,456,229 |
| 2026-01-09 | 247.38 | 34,560,000 |
| 2026-01-16 | 239.12 | 45,888,300 |
| 2026-01-23 | 239.16 | 33,778,500 |
| 2026-01-30 | 239.30 | 46,585,024 |
| 2026-02-06 | 210.32 | 179,383,581 |
| 2026-02-13 | 198.79 | 66,321,600 |
| 2026-02-20 | 210.11 | 65,881,611 |
| 2026-02-27 | 210 | 57,422,800 |
| 2026-03-06 | 213.21 | 51,152,716 |
| 2026-03-13 | 207.67 | 35,662,137 |
| 2026-03-20 | 205.37 | 63,694,603 |
| 2026-03-27 | 199.34 | 56,009,763 |

Data available in: `AMZN_price_history_2025-03-01_2026-03-28_1week_4ed82c.csv` (row key column: date)

## JPM Price History
**JPM** (JPMorgan Chase & Co., USD)
| date | close | volume |
| --- | --- | --- |
| 2025-03-07 | 242.28 | 20,498,734 |
| 2025-03-14 | 232.44 | 11,962,108 |
| 2025-03-21 | 241.63 | 19,326,900 |
| 2025-03-28 | 242.85 | 11,978,417 |
| 2025-04-04 | 210.28 | 27,170,700 |
| 2025-04-11 | 236.20 | 20,284,500 |
| 2025-04-17 | 231.96 | 9,557,946 |
| 2025-04-25 | 243.55 | 8,588,600 |
| 2025-05-02 | 252.51 | 7,165,044 |
| 2025-05-09 | 253.08 | 5,087,639 |
| 2025-05-16 | 267.56 | 8,932,912 |
| 2025-05-23 | 260.71 | 6,671,841 |
| 2025-05-30 | 264 | 10,977,700 |
| 2025-06-06 | 265.73 | 7,738,134 |
| 2025-06-13 | 264.95 | 7,098,300 |
| 2025-06-20 | 275 | 13,969,700 |
| 2025-06-27 | 287.11 | 17,868,633 |
| 2025-07-03 | 296 | 6,541,646 |
| 2025-07-11 | 286.86 | 7,384,700 |
| 2025-07-18 | 291.27 | 12,217,018 |
| 2025-07-25 | 298.62 | 5,918,875 |
| 2025-08-01 | 289.37 | 12,007,111 |
| 2025-08-08 | 288.76 | 6,634,506 |
| 2025-08-15 | 290.49 | 7,340,518 |
| 2025-08-22 | 296.24 | 8,552,847 |
| 2025-08-29 | 301.42 | 6,796,400 |
| 2025-09-05 | 294.38 | 9,837,709 |
| 2025-09-12 | 306.91 | 6,846,700 |
| 2025-09-19 | 314.78 | 23,568,600 |
| 2025-09-26 | 316.06 | 7,258,136 |
| 2025-10-03 | 310.03 | 6,029,900 |
| 2025-10-10 | 300.89 | 8,597,400 |
| 2025-10-17 | 297.56 | 10,153,500 |
| 2025-10-24 | 300.44 | 7,228,330 |
| 2025-10-31 | 311.12 | 7,721,300 |
| 2025-11-07 | 314.21 | 7,302,347 |
| 2025-11-14 | 303.61 | 10,327,000 |
| 2025-11-21 | 298.02 | 11,766,810 |
| 2025-11-28 | 313.08 | 4,322,448 |
| 2025-12-05 | 315.04 | 6,518,908 |
| 2025-12-12 | 318.52 | 8,982,911 |
| 2025-12-19 | 317.21 | 24,494,412 |
| 2025-12-26 | 327.91 | 4,158,300 |
| 2026-01-02 | 325.48 | 8,054,040 |
| 2026-01-09 | 329.19 | 6,738,143 |
| 2026-01-16 | 312.47 | 14,652,508 |
| 2026-01-23 | 297.72 | 11,107,925 |
| 2026-01-30 | 305.89 | 11,953,200 |
| 2026-02-06 | 322.40 | 17,797,443 |
| 2026-02-13 | 302.55 | 9,114,526 |
| 2026-02-20 | 310.79 | 7,792,735 |
| 2026-02-27 | 300.30 | 18,620,800 |
| 2026-03-06 | 289.48 | 13,496,526 |
| 2026-03-13 | 283.44 | 9,091,200 |
| 2026-03-20 | 286.56 | 22,436,500 |
| 2026-03-27 | 282.84 | 9,873,292 |

Data available in: `JPM_price_history_2025-03-01_2026-03-28_1week_4ed82c.csv` (row key column: date)

## JNJ Price History
**JNJ** (Johnson & Johnson, USD)
| date | close | volume |
| --- | --- | --- |
| 2025-03-07 | 166.69 | 9,637,600 |
| 2025-03-14 | 162.81 | 6,235,800 |
| 2025-03-21 | 163.63 | 17,047,106 |
| 2025-03-28 | 163.71 | 5,760,545 |
| 2025-04-04 | 153.24 | 16,601,728 |
| 2025-04-11 | 151.73 | 9,943,900 |
| 2025-04-17 | 157.47 | 10,981,100 |
| 2025-04-25 | 154.58 | 8,643,927 |
| 2025-05-02 | 156.12 | 5,974,539 |
| 2025-05-09 | 154.22 | 6,520,449 |
| 2025-05-16 | 151.33 | 8,051,200 |
| 2025-05-23 | 152.94 | 6,727,539 |
| 2025-05-30 | 155.21 | 15,529,716 |
| 2025-06-06 | 155.03 | 5,391,841 |
| 2025-06-13 | 157.10 | 6,587,849 |
| 2025-06-20 | 149.79 | 22,605,500 |
| 2025-06-27 | 152.41 | 10,010,800 |
| 2025-07-03 | 156.01 | 3,482,521 |
| 2025-07-11 | 156.90 | 7,872,172 |
| 2025-07-18 | 163.70 | 9,793,046 |
| 2025-07-25 | 168.30 | 6,255,183 |
| 2025-08-01 | 167.33 | 8,928,229 |
| 2025-08-08 | 173.33 | 7,686,800 |
| 2025-08-15 | 176.64 | 9,477,600 |
| 2025-08-22 | 179.29 | 9,524,308 |
| 2025-08-29 | 177.17 | 6,942,311 |
| 2025-09-05 | 178.43 | 9,733,803 |
| 2025-09-12 | 178.06 | 7,220,473 |
| 2025-09-19 | 176.19 | 25,621,000 |
| 2025-09-26 | 179.71 | 8,634,403 |
| 2025-10-03 | 188.64 | 8,675,100 |
| 2025-10-10 | 190.72 | 9,598,019 |
| 2025-10-17 | 193.22 | 7,764,449 |
| 2025-10-24 | 190.40 | 6,903,400 |
| 2025-10-31 | 188.87 | 8,791,700 |
| 2025-11-07 | 186.57 | 6,959,209 |
| 2025-11-14 | 195.93 | 8,824,847 |
| 2025-11-21 | 203.90 | 13,189,100 |
| 2025-11-28 | 206.92 | 5,638,300 |
| 2025-12-05 | 201.93 | 7,785,552 |
| 2025-12-12 | 211.58 | 6,922,700 |
| 2025-12-19 | 206.37 | 24,803,920 |
| 2025-12-26 | 207.63 | 2,316,730 |
| 2026-01-02 | 207.35 | 6,325,672 |
| 2026-01-09 | 204.39 | 6,154,326 |
| 2026-01-16 | 218.66 | 10,021,515 |
| 2026-01-23 | 220.14 | 6,951,040 |
| 2026-01-30 | 227.25 | 11,045,529 |
| 2026-02-06 | 239.99 | 8,274,034 |
| 2026-02-13 | 243.45 | 13,268,519 |
| 2026-02-20 | 242.49 | 13,565,800 |
| 2026-02-27 | 248.43 | 16,428,600 |
| 2026-03-06 | 240.40 | 7,179,800 |
| 2026-03-13 | 241.52 | 6,415,539 |
| 2026-03-20 | 235.37 | 17,156,623 |
| 2026-03-27 | 240.45 | 7,617,616 |

Data available in: `JNJ_price_history_2025-03-01_2026-03-28_1week_4ed82c.csv` (row key column: date)

## PLTR Price History
**PLTR** (Palantir Technologies Inc., USD)
| date | close | volume |
| --- | --- | --- |
| 2025-03-07 | 84.91 | 105,377,100 |
| 2025-03-14 | 86.24 | 113,985,000 |
| 2025-03-21 | 90.96 | 116,748,700 |
| 2025-03-28 | 85.85 | 91,091,700 |
| 2025-04-04 | 74.01 | 147,323,200 |
| 2025-04-11 | 88.55 | 95,130,700 |
| 2025-04-17 | 93.78 | 83,991,800 |
| 2025-04-25 | 112.78 | 103,933,800 |
| 2025-05-02 | 124.28 | 103,094,300 |
| 2025-05-09 | 117.30 | 81,005,300 |
| 2025-05-16 | 129.52 | 57,003,724 |
| 2025-05-23 | 123.31 | 65,905,836 |
| 2025-05-30 | 131.78 | 185,897,600 |
| 2025-06-06 | 127.72 | 87,175,144 |
| 2025-06-13 | 137.40 | 93,519,043 |
